metodo,periodo,cobertura,se_cluster,ancho_medio,pct_infinito,n_dias,n,ess_calib
a_estatico_aditivo,test_pre,89.2,0.86,174.5,0.0,30,1200,
a_estatico_aditivo,test_ramp,87.3,0.77,432.9,0.0,92,3680,
a_estatico_aditivo,2025-S1,94.7,0.37,455.4,0.0,181,7240,
a_estatico_aditivo,2025-S2,99.4,0.1,445.3,0.0,184,7360,
a_estatico_aditivo,2026-S1,99.8,0.05,389.8,0.0,151,6040,
b_estatico_pit,test_pre,88.2,0.84,172.9,0.0,30,1200,
b_estatico_pit,test_ramp,87.6,0.75,447.5,0.0,92,3680,
b_estatico_pit,2025-S1,95.0,0.36,471.4,0.0,181,7240,
b_estatico_pit,2025-S2,99.4,0.1,460.6,0.0,184,7360,
b_estatico_pit,2026-S1,99.8,0.05,401.6,0.0,151,6040,
c_weighted_por_punto,test_pre,87.4,0.88,162.6,0.0,30,1200,1732.0
c_weighted_por_punto,test_ramp,97.9,0.46,545.2,76.0,92,3680,3629.0
c_weighted_por_punto,2025-S1,98.7,0.17,448.2,49.3,181,7240,1338.0
c_weighted_por_punto,2025-S2,99.4,0.09,342.9,19.9,184,7360,1298.0
c_weighted_por_punto,2026-S1,100.0,0.02,227.8,71.9,151,6040,1606.0
c_weighted_por_punto,post_total,99.3,0.08,319.0,46.2,516,20640,1203.0
d_recencia_hl180,test_pre,87.8,0.85,167.9,0.0,30,1200,
d_recencia_hl180,test_ramp,86.7,0.77,435.2,0.0,92,3680,
d_recencia_hl180,2025-S1,94.7,0.37,459.2,0.0,181,7240,
d_recencia_hl180,2025-S2,99.3,0.11,449.9,0.0,184,7360,
d_recencia_hl180,2026-S1,99.8,0.05,393.3,0.0,151,6040,
d_recencia_hl30,test_pre,86.3,0.95,153.7,0.0,30,1200,
d_recencia_hl30,test_ramp,84.9,0.8,406.9,0.0,92,3680,
d_recencia_hl30,2025-S1,97.0,0.33,667.2,42.0,181,7240,
d_recencia_hl30,2025-S2,100.0,0.0,,100.0,184,7360,
d_recencia_hl30,2026-S1,100.0,0.0,,100.0,151,6040,
d_recencia_hl90,test_pre,87.5,0.9,164.3,0.0,30,1200,
d_recencia_hl90,test_ramp,86.1,0.75,426.8,0.0,92,3680,
d_recencia_hl90,2025-S1,94.4,0.38,451.0,0.0,181,7240,
d_recencia_hl90,2025-S2,99.3,0.11,452.8,0.0,184,7360,
d_recencia_hl90,2026-S1,99.9,0.05,414.3,0.0,151,6040,
e_ventana60d_aditivo,test_pre,86.8,0.92,160.5,0.0,30,1200,
e_ventana60d_aditivo,test_ramp,89.0,0.79,462.2,0.0,92,3680,
e_ventana60d_aditivo,2025-S1,90.8,0.72,415.6,0.0,181,7240,
e_ventana60d_aditivo,2025-S2,97.5,0.27,386.4,0.0,184,7360,
e_ventana60d_aditivo,2026-S1,79.4,2.18,255.6,0.0,151,6040,
e_ventana60d_pit,test_pre,86.7,0.93,157.8,0.0,30,1200,
e_ventana60d_pit,test_ramp,90.1,0.67,502.2,0.0,92,3680,
e_ventana60d_pit,2025-S1,92.1,0.41,391.8,0.0,181,7240,
e_ventana60d_pit,2025-S2,91.4,0.46,182.0,0.0,184,7360,
e_ventana60d_pit,2026-S1,88.3,0.82,120.4,0.0,151,6040,
f_aci_pit_g005,test_pre,88.4,0.86,174.3,0.0,30,1200,
f_aci_pit_g005,test_ramp,88.7,0.73,467.9,0.0,92,3680,
f_aci_pit_g005,2025-S1,94.7,0.36,458.3,0.0,181,7240,
f_aci_pit_g005,2025-S2,98.3,0.19,326.9,0.0,184,7360,
f_aci_pit_g005,2026-S1,98.7,0.15,245.9,0.0,151,6040,
f_aci_pit_g02,test_pre,88.6,0.83,178.4,0.0,30,1200,
f_aci_pit_g02,test_ramp,90.1,0.67,494.3,0.0,92,3680,
f_aci_pit_g02,2025-S1,93.2,0.38,415.0,0.0,181,7240,
f_aci_pit_g02,2025-S2,94.7,0.36,214.8,0.0,184,7360,
f_aci_pit_g02,2026-S1,92.2,0.7,146.6,0.0,151,6040,
f_aci_pit_g05,test_pre,89.1,0.8,184.8,0.0,30,1200,
f_aci_pit_g05,test_ramp,90.3,0.62,497.9,0.0,92,3680,
f_aci_pit_g05,2025-S1,91.9,0.42,381.4,0.0,181,7240,
f_aci_pit_g05,2025-S2,91.8,0.45,182.7,0.0,184,7360,
f_aci_pit_g05,2026-S1,89.5,0.72,123.0,0.0,151,6040,
g_transporte_aci_g02,test_pre,87.7,0.9,168.9,0.0,30,1200,
g_transporte_aci_g02,test_ramp,91.2,0.61,524.5,0.0,92,3680,
g_transporte_aci_g02,2025-S1,90.8,0.44,360.2,0.0,181,7240,
g_transporte_aci_g02,2025-S2,89.5,0.52,167.4,0.0,184,7360,
g_transporte_aci_g02,2026-S1,87.7,0.67,110.1,0.0,151,6040,
g_transporte_aci_g05,test_pre,88.6,0.89,181.2,0.0,30,1200,
g_transporte_aci_g05,test_ramp,91.0,0.6,513.6,0.0,92,3680,
g_transporte_aci_g05,2025-S1,90.2,0.45,354.1,0.0,181,7240,
g_transporte_aci_g05,2025-S2,89.9,0.5,173.3,0.0,184,7360,
g_transporte_aci_g05,2026-S1,88.7,0.57,108.6,0.0,151,6040,
