metodo,periodo,cobertura_const,cobertura_hetero,d_cobertura,ancho_medio_const,ancho_medio_hetero,d_ancho_pct,se_cluster_const,se_cluster_hetero,pct_infinito_hetero
1_estatico_pit,test_pre,93.5,94.5,1.0,799.1,662.0,-17.2,1.03,0.81,0.0
1_estatico_pit,test_transition,95.3,91.7,-3.6,1203.3,769.5,-36.1,0.45,0.63,0.0
1_estatico_pit,2025-S1,89.4,88.0,-1.4,454.8,366.3,-19.5,1.04,0.98,0.0
1_estatico_pit,2025-S2,94.0,92.9,-1.1,750.1,584.4,-22.1,0.45,0.44,0.0
1_estatico_pit,2026-S1,92.5,90.7,-1.8,534.9,413.6,-22.7,0.58,0.66,0.0
2_ventana60d_pit,test_pre,93.0,93.7,0.7,741.6,583.8,-21.3,1.04,0.91,0.0
2_ventana60d_pit,test_transition,92.0,88.7,-3.3,833.8,627.1,-24.8,0.73,0.88,0.0
2_ventana60d_pit,2025-S1,85.4,87.8,2.4,323.0,364.6,12.9,1.16,1.0,0.0
2_ventana60d_pit,2025-S2,92.9,91.4,-1.5,649.8,518.0,-20.3,0.51,0.53,0.0
2_ventana60d_pit,2026-S1,89.5,91.1,1.6,418.6,429.3,2.6,0.76,0.64,0.0
3_aci_pit_g02,test_pre,93.0,94.2,1.2,759.3,633.1,-16.6,1.06,0.84,0.0
3_aci_pit_g02,test_transition,93.5,89.9,-3.6,915.2,657.2,-28.2,0.55,0.77,0.0
3_aci_pit_g02,2025-S1,85.7,87.6,1.9,345.2,363.7,5.4,1.16,1.0,0.0
3_aci_pit_g02,2025-S2,93.5,92.1,-1.4,668.8,530.4,-20.7,0.49,0.5,0.0
3_aci_pit_g02,2026-S1,89.1,90.6,1.5,404.6,410.4,1.4,0.76,0.67,0.0
3_aci_pit_g05,test_pre,92.4,93.5,1.1,717.7,598.8,-16.6,1.16,0.94,0.0
3_aci_pit_g05,test_transition,92.1,89.5,-2.6,821.6,648.9,-21.0,0.67,0.82,0.0
3_aci_pit_g05,2025-S1,86.6,88.0,1.4,404.8,387.0,-4.4,1.14,1.0,2.2
3_aci_pit_g05,2025-S2,92.5,91.5,-1.0,609.3,625.8,2.7,0.58,0.56,9.6
3_aci_pit_g05,2026-S1,89.8,91.1,1.3,445.8,446.4,0.1,0.75,0.66,0.0
4_transporte_banda_g02,test_pre,92.6,93.1,0.5,712.8,567.3,-20.4,1.08,0.99,0.0
4_transporte_banda_g02,test_transition,91.1,88.9,-2.2,787.6,669.5,-15.0,0.8,0.94,0.0
4_transporte_banda_g02,2025-S1,86.5,88.1,1.6,437.8,408.3,-6.7,1.17,1.01,0.0
4_transporte_banda_g02,2025-S2,92.4,91.2,-1.2,994.0,629.8,-36.6,0.6,0.58,0.0
4_transporte_banda_g02,2026-S1,90.3,91.9,1.6,460.8,476.4,3.4,0.73,0.59,0.0
4_transporte_banda_g05,test_pre,92.0,92.4,0.4,682.2,550.3,-19.3,1.2,1.06,0.0
4_transporte_banda_g05,test_transition,90.9,89.5,-1.4,806.7,726.4,-10.0,0.81,0.96,0.0
4_transporte_banda_g05,2025-S1,87.4,88.1,0.7,448.0,400.2,-10.7,1.14,0.99,2.8
4_transporte_banda_g05,2025-S2,91.6,91.4,-0.2,698.7,625.3,-10.5,0.63,0.58,10.7
4_transporte_banda_g05,2026-S1,90.5,91.2,0.7,488.9,482.5,-1.3,0.72,0.68,0.0
