metodo,periodo,cobertura,se_cluster,ancho_medio,pct_infinito,n_dias,n
1_estatico_pit,test_pre,93.5,1.03,799.1,0.0,30,3390
1_estatico_pit,test_ramp,95.3,0.45,1203.3,0.0,92,10607
1_estatico_pit,2025-S1,89.4,1.04,454.8,0.0,181,21784
1_estatico_pit,2025-S2,94.0,0.45,750.1,0.0,184,22941
1_estatico_pit,2026-S1,92.5,0.58,534.9,0.0,151,19146
2_ventana60d_pit,test_pre,92.5,1.07,704.2,0.0,30,3390
2_ventana60d_pit,test_ramp,91.9,0.69,810.7,0.0,92,10607
2_ventana60d_pit,2025-S1,85.9,1.15,343.4,0.0,181,21784
2_ventana60d_pit,2025-S2,92.8,0.5,614.3,0.0,184,22941
2_ventana60d_pit,2026-S1,89.7,0.74,426.4,0.0,151,19146
3_aci_pit_g02,test_pre,93.0,1.06,737.6,0.0,30,3390
3_aci_pit_g02,test_ramp,93.4,0.55,891.1,0.0,92,10607
3_aci_pit_g02,2025-S1,86.2,1.12,352.5,0.0,181,21784
3_aci_pit_g02,2025-S2,93.1,0.49,614.8,0.0,184,22941
3_aci_pit_g02,2026-S1,89.2,0.75,401.5,0.0,151,19146
3_aci_pit_g05,test_pre,92.3,1.18,687.7,0.0,30,3390
3_aci_pit_g05,test_ramp,91.9,0.61,785.6,0.0,92,10607
3_aci_pit_g05,2025-S1,88.0,1.02,409.8,1.1,181,21784
3_aci_pit_g05,2025-S2,91.3,0.55,517.2,0.0,184,22941
3_aci_pit_g05,2026-S1,89.7,0.74,423.4,0.0,151,19146
4_transporte_banda_g02,test_pre,92.0,1.2,668.4,0.0,30,3390
4_transporte_banda_g02,test_ramp,91.1,0.7,753.3,0.0,92,10607
4_transporte_banda_g02,2025-S1,87.2,1.12,512.7,0.0,181,21784
4_transporte_banda_g02,2025-S2,91.9,0.58,648.7,0.0,184,22941
4_transporte_banda_g02,2026-S1,90.2,0.72,446.9,0.0,151,19146
4_transporte_banda_g05,test_pre,91.4,1.29,638.3,0.0,30,3390
4_transporte_banda_g05,test_ramp,90.7,0.68,732.4,0.0,92,10607
4_transporte_banda_g05,2025-S1,88.8,1.0,557.2,1.1,181,21784
4_transporte_banda_g05,2025-S2,90.5,0.59,507.5,0.0,184,22941
4_transporte_banda_g05,2026-S1,90.4,0.71,455.8,0.0,151,19146
