modelo_base,periodo,cob_estatico,sobrecobertura_pp,ancho_estatico,ancho_transporte,cob_transporte,IS_estatico,IS_transporte,crps_base,cambio_ancho_pct,cambio_IS_pct,sobrecobertura_pp_exacta,cambio_ancho_pct_exacto,r_ajuste,pendiente_ajuste,intercepto_ajuste
hurdle,test_pre,93.5,3.5,799.1,680.7,92.0,913.9,822.3,96.07,-14.8,-10.0,3.4513274336283217,-14.815732085474531,-0.754731,-4.364737,5.448691
hurdle,test_transition,95.3,5.3,1203.3,805.6,90.9,1395.4,1107.0,133.47,-33.1,-20.7,5.342698218157821,-33.051622026005326,-0.754731,-4.364737,5.448691
hurdle,2025-S1,89.4,-0.6,454.8,445.6,87.4,600.0,638.8,70.46,-2.0,6.5,-0.6500183621006244,-2.0205683341586345,-0.754731,-4.364737,5.448691
hurdle,2025-S2,94.0,4.0,750.1,717.7,91.6,886.9,966.2,94.49,-4.3,8.9,3.97149208840068,-4.318757009186813,-0.754731,-4.364737,5.448691
hurdle,2026-S1,92.5,2.5,534.9,488.7,90.5,677.6,662.8,78.98,-8.6,-2.2,2.4736237334169004,-8.630792284014376,-0.754731,-4.364737,5.448691
hurdle_sigma_x,test_pre,94.5,4.5,662.0,550.1,92.4,801.8,717.8,92.3,-16.9,-10.5,4.542772861356923,-16.909513492423244,-0.754731,-4.364737,5.448691
hurdle_sigma_x,test_transition,91.7,1.7,769.5,732.8,89.5,991.5,1000.1,125.03,-4.8,0.9,1.6658810219666265,-4.772685679914912,-0.754731,-4.364737,5.448691
hurdle_sigma_x,2025-S1,88.0,-2.0,366.3,399.9,88.1,550.9,584.1,69.53,9.2,6.0,-2.0639001101725967,9.170379383709083,-0.754731,-4.364737,5.448691
hurdle_sigma_x,2025-S2,92.9,2.9,584.4,629.0,91.4,744.7,861.3,94.95,7.6,15.7,2.8643040843903975,7.62281654084398,-0.754731,-4.364737,5.448691
hurdle_sigma_x,2026-S1,90.7,0.7,413.6,483.5,91.2,612.6,664.8,77.71,16.9,8.5,0.7709182074584788,16.890392022679457,-0.754731,-4.364737,5.448691
qgbm_multi,test_pre,91.2,1.2,325.7,329.6,91.7,421.5,420.9,71.85,1.2,-0.1,1.2389380530973426,1.1956379467160883,-0.754731,-4.364737,5.448691
qgbm_multi,test_transition,90.6,0.6,410.3,425.0,90.5,587.7,602.1,92.92,3.6,2.5,0.647685490713684,3.6010626265232437,-0.754731,-4.364737,5.448691
qgbm_multi,2025-S1,88.0,-2.0,221.4,243.5,87.8,375.6,406.4,57.6,10.0,8.2,-1.967499081894971,9.988937884031369,-0.754731,-4.364737,5.448691
qgbm_multi,2025-S2,91.7,1.7,319.2,333.0,91.3,452.6,495.0,71.51,4.3,9.4,1.6655769146942134,4.3347639050427045,-0.754731,-4.364737,5.448691
qgbm_multi,2026-S1,90.6,0.6,252.8,268.3,91.0,390.0,403.3,60.66,6.1,3.4,0.6351196072286598,6.121876077194699,-0.754731,-4.364737,5.448691
