modelo_base,metodo,periodo,d_ancho,ancho_lo,ancho_hi,d_cobertura_pp,cob_lo,cob_hi,d_IS,IS_lo,IS_hi,n_filas_IS_finitas,n_filas
hurdle,4_transporte_banda_g05,test_pre,-118.4,-157.7,-79.3,-1.47,-2.12,-0.86,-64.7,-98.9,-29.9,3390,3390
hurdle,4_transporte_banda_g05,test_transition,-396.1,-462.8,-333.1,-4.46,-5.46,-3.47,-177.0,-249.6,-106.8,10607,10607
hurdle,4_transporte_banda_g05,2025-S1,21.7,-56.5,119.7,-1.97,-3.15,-0.84,96.0,16.0,195.9,19624,21784
hurdle,4_transporte_banda_g05,2025-S2,-90.3,-205.1,46.8,-2.37,-3.6,-1.1,119.0,20.3,242.9,20488,22941
hurdle,4_transporte_banda_g05,2026-S1,-46.2,-61.8,-31.0,-1.94,-2.44,-1.46,16.8,1.5,31.8,19146,19146
hurdle,4_transporte_banda_g02,test_pre,-85.8,-116.4,-55.7,-0.83,-1.3,-0.41,-51.2,-78.8,-25.6,3390,3390
hurdle,4_transporte_banda_g02,test_transition,-415.1,-455.8,-376.8,-4.21,-5.05,-3.41,-195.5,-259.8,-135.2,10607,10607
hurdle,4_transporte_banda_g02,2025-S1,-21.4,-94.9,106.3,-2.84,-3.86,-1.94,76.5,-3.7,211.3,21662,21784
hurdle,4_transporte_banda_g02,2025-S2,239.1,44.3,474.8,-1.59,-2.73,-0.34,384.6,204.0,609.9,22697,22941
hurdle,4_transporte_banda_g02,2026-S1,-75.7,-89.0,-63.9,-2.18,-2.67,-1.77,-0.2,-15.9,16.6,19146,19146
hurdle,3_aci_pit_g05,test_pre,-81.4,-108.5,-54.6,-1.03,-1.56,-0.56,-42.9,-66.9,-17.8,3390,3390
hurdle,3_aci_pit_g05,test_transition,-380.0,-427.0,-336.6,-3.21,-3.87,-2.57,-215.8,-274.4,-161.0,10607,10607
hurdle,3_aci_pit_g05,2025-S1,-53.0,-101.4,23.3,-2.75,-3.59,-1.91,32.4,-21.8,109.3,21174,21784
hurdle,3_aci_pit_g05,2025-S2,-209.6,-260.3,-153.3,-1.48,-2.44,-0.42,-46.4,-90.1,5.5,20242,22941
hurdle,3_aci_pit_g05,2026-S1,-89.3,-102.8,-76.4,-2.71,-3.2,-2.22,-0.9,-18.9,17.6,19146,19146
hurdle,2_ventana60d_pit,test_pre,-57.5,-79.9,-35.9,-0.47,-0.77,-0.21,-36.6,-56.4,-18.2,3390,3390
hurdle,2_ventana60d_pit,test_transition,-368.9,-402.3,-337.5,-3.28,-3.91,-2.67,-195.3,-249.2,-144.1,10607,10607
hurdle,2_ventana60d_pit,2025-S1,-133.1,-155.1,-110.2,-3.96,-4.76,-3.21,-11.8,-44.3,25.9,21784,21784
