modelo_base,metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,crps_base,brier_base,segundos
hurdle,1_estatico_pit,test_pre,93.5,1.03,799.1,399.7,0.0,913.9,913.8743486281413,30,3390,96.07,0.1036,0.0
hurdle,1_estatico_pit,test_transition,95.3,0.45,1203.3,667.5,0.0,1395.4,1395.42587005826,92,10607,133.47,0.0721,0.0
hurdle,1_estatico_pit,2025-S1,89.4,1.04,454.8,179.4,0.0,600.0,599.971864358676,181,21784,70.46,0.1614,0.0
hurdle,1_estatico_pit,2025-S2,94.0,0.45,750.1,349.0,0.0,886.9,886.8954019686437,184,22941,94.49,0.1054,0.0
hurdle,1_estatico_pit,2026-S1,92.5,0.58,534.9,244.7,0.0,677.6,677.5688926647307,151,19146,78.98,0.1213,0.0
hurdle,2_ventana60d_pit,test_pre,93.0,1.04,741.6,370.6,0.0,866.8,866.8226396731401,30,3390,96.07,0.1036,0.1
hurdle,2_ventana60d_pit,test_transition,92.0,0.73,833.8,456.6,0.0,1112.3,1112.2978944214694,92,10607,133.47,0.0721,0.1
hurdle,2_ventana60d_pit,2025-S1,85.4,1.16,323.0,132.3,0.0,528.4,528.355831597189,181,21784,70.46,0.1614,0.1
hurdle,2_ventana60d_pit,2025-S2,92.9,0.51,649.8,330.5,0.0,837.1,837.08533288837,184,22941,94.49,0.1054,0.1
hurdle,2_ventana60d_pit,2026-S1,89.5,0.76,418.6,192.5,0.0,610.7,610.6939625295677,151,19146,78.98,0.1213,0.1
hurdle,3_aci_pit_g02,test_pre,93.0,1.06,759.3,380.9,0.0,882.5,882.4789483402805,30,3390,96.07,0.1036,0.4
hurdle,3_aci_pit_g02,test_transition,93.5,0.55,915.2,509.1,0.0,1158.0,1158.024997182354,92,10607,133.47,0.0721,0.4
hurdle,3_aci_pit_g02,2025-S1,85.7,1.16,345.2,136.7,0.0,542.2,542.2284709182577,181,21784,70.46,0.1614,0.4
hurdle,3_aci_pit_g02,2025-S2,93.5,0.49,668.8,346.6,0.0,839.5,839.5488621149351,184,22941,94.49,0.1054,0.4
hurdle,3_aci_pit_g02,2026-S1,89.1,0.76,404.6,185.7,0.0,602.2,602.1592214329904,151,19146,78.98,0.1213,0.4
hurdle,3_aci_pit_g05,test_pre,92.4,1.16,717.7,361.6,0.0,851.7,851.6803622107681,30,3390,96.07,0.1036,0.2
hurdle,3_aci_pit_g05,test_transition,92.1,0.67,821.6,446.2,0.0,1095.8,1095.753339596203,92,10607,133.47,0.0721,0.2
hurdle,3_aci_pit_g05,2025-S1,86.6,1.14,404.8,144.0,2.8,595.2,inf,181,21784,70.46,0.1614,0.2
hurdle,3_aci_pit_g05,2025-S2,92.5,0.58,609.3,311.1,11.8,836.0,inf,184,22941,94.49,0.1054,0.2
hurdle,3_aci_pit_g05,2026-S1,89.8,0.75,445.8,197.0,0.0,632.6,632.5737946441352,151,19146,78.98,0.1213,0.2
hurdle,4_transporte_banda_g02,test_pre,92.6,1.07,713.3,359.1,0.0,845.4,845.3612280240304,30,3390,96.07,0.1036,7.0
hurdle,4_transporte_banda_g02,test_transition,91.1,0.8,787.3,422.3,0.0,1088.8,1088.7713457176126,92,10607,133.47,0.0721,7.0
hurdle,4_transporte_banda_g02,2025-S1,86.5,1.17,436.6,150.1,0.6,630.0,inf,181,21784,70.46,0.1614,7.0
hurdle,4_transporte_banda_g02,2025-S2,92.4,0.6,986.1,401.7,1.1,1197.7,inf,184,22941,94.49,0.1054,7.0
hurdle,4_transporte_banda_g02,2026-S1,90.3,0.73,459.4,206.1,0.0,639.7,639.7341156863938,151,19146,78.98,0.1213,7.0
hurdle,4_transporte_banda_g05,test_pre,92.0,1.19,680.7,345.8,0.0,822.3,822.340334188587,30,3390,96.07,0.1036,7.3
hurdle,4_transporte_banda_g05,test_transition,90.9,0.81,805.6,420.2,0.0,1107.0,1107.0265640645284,92,10607,133.47,0.0721,7.3
hurdle,4_transporte_banda_g05,2025-S1,87.4,1.13,445.6,142.8,9.9,638.8,inf,181,21784,70.46,0.1614,7.3
hurdle,4_transporte_banda_g05,2025-S2,91.6,0.63,717.7,318.7,10.7,966.2,inf,184,22941,94.49,0.1054,7.3
hurdle,4_transporte_banda_g05,2026-S1,90.5,0.72,488.7,210.8,0.0,662.8,662.773435530167,151,19146,78.98,0.1213,7.3
hurdle_sigma_x,1_estatico_pit,test_pre,94.5,0.81,662.0,393.6,0.0,801.8,801.788086172742,30,3390,92.3,0.1036,0.0
hurdle_sigma_x,1_estatico_pit,test_transition,91.7,0.63,769.5,426.1,0.0,991.5,991.5332400777813,92,10607,125.03,0.0721,0.0
hurdle_sigma_x,1_estatico_pit,2025-S1,88.0,0.98,366.3,173.8,0.0,550.9,550.866406059289,181,21784,69.53,0.1614,0.0
hurdle_sigma_x,1_estatico_pit,2025-S2,92.9,0.44,584.4,325.0,0.0,744.7,744.7060141716373,184,22941,94.95,0.1054,0.0
hurdle_sigma_x,1_estatico_pit,2026-S1,90.7,0.66,413.6,223.6,0.0,612.6,612.6118931170535,151,19146,77.71,0.1213,0.0
