modelo_base,ventana,sobrecobertura_pp,cambio_ancho_pct,en_las_quince_originales
hurdle_400,test_pre,3.4513,-14.8157,True
hurdle_400,test_transition,5.3427,-33.0516,True
hurdle_400,2025-S1,-0.65,-2.0206,True
hurdle_400,2025-S2,3.9715,-4.3188,True
hurdle_400,2026-S1,2.4736,-8.6308,True
hurdle_2000,test_pre,4.5428,-20.4664,False
hurdle_2000,test_transition,5.0222,-36.8728,False
hurdle_2000,2025-S1,-1.1137,8.9576,False
hurdle_2000,2025-S2,3.8276,-7.306,False
hurdle_2000,2026-S1,1.7581,2.8639,False
hurdle_sigma_x,test_pre,4.5428,-16.9095,True
hurdle_sigma_x,test_transition,1.6659,-4.7727,True
hurdle_sigma_x,2025-S1,-2.0639,9.1704,True
hurdle_sigma_x,2025-S2,2.8643,7.6228,True
hurdle_sigma_x,2026-S1,0.7709,16.8904,True
qgbm_54x15,test_pre,-4.7493,17.2658,False
qgbm_54x15,test_transition,-8.4218,55.6777,False
qgbm_54x15,2025-S1,-1.5222,12.3974,False
qgbm_54x15,2025-S2,-3.1032,30.6937,False
qgbm_54x15,2026-S1,-0.8221,11.766,False
qgbm_54x50,test_pre,-0.708,4.8126,False
qgbm_54x50,test_transition,-1.4924,13.9399,False
qgbm_54x50,2025-S1,-1.7517,4.6944,False
qgbm_54x50,2025-S2,0.2881,11.4408,False
qgbm_54x50,2026-S1,0.4993,4.4983,False
qgbm_54x100,test_pre,0.826,2.3884,False
qgbm_54x100,test_transition,-0.05,6.8842,False
qgbm_54x100,2025-S1,-1.6462,3.6583,False
qgbm_54x100,2025-S2,1.3169,6.1456,False
qgbm_54x100,2026-S1,0.7187,3.4583,False
qgbm_54x200,test_pre,1.0324,1.4826,False
qgbm_54x200,test_transition,0.4497,4.1053,False
qgbm_54x200,2025-S1,-1.8481,7.1534,False
qgbm_54x200,2025-S2,1.561,4.6433,False
qgbm_54x200,2026-S1,0.609,4.953,False
qgbm_54x400,test_pre,1.2389,1.1956,True
qgbm_54x400,test_transition,0.6477,3.6011,True
qgbm_54x400,2025-S1,-1.9675,9.9889,True
qgbm_54x400,2025-S2,1.6656,4.3348,True
qgbm_54x400,2026-S1,0.6351,6.1219,True
