metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,grupo,gamma,segundos
A0 split estatico,test_pre,93.5,1.03,799.1,399.7,0.0,1028.6,1028.6199818759424,30,3390,A0,,0.01
A0 split estatico,test_transition,95.3,0.45,1203.3,667.5,0.0,1587.6,1587.584564697619,92,10607,A0,,0.01
A0 split estatico,2025-S1,89.4,1.04,454.8,179.4,0.0,745.2,745.1781435303656,181,21784,A0,,0.01
A0 split estatico,2025-S2,94.0,0.45,750.1,349.0,0.0,1023.7,1023.737611298686,184,22941,A0,,0.01
A0 split estatico,2026-S1,92.5,0.58,534.9,244.7,0.0,820.3,820.2853457461563,151,19146,A0,,0.01
A0 split estatico,TEST_COMPLETO,92.5,0.37,678.4,300.1,0.0,972.8,972.8032011279556,638,77868,A0,,0.01
A1 ACI puro (g=0.02),test_pre,93.0,1.06,759.3,380.9,0.0,1005.7,1005.6540345352344,30,3390,A1,0.02,0.23
A1 ACI puro (g=0.02),test_transition,93.5,0.55,915.2,509.1,0.0,1400.8,1400.8490873131962,92,10607,A1,0.02,0.23
A1 ACI puro (g=0.02),2025-S1,85.7,1.16,345.2,136.7,0.0,739.3,739.2982754717776,181,21784,A1,0.02,0.23
A1 ACI puro (g=0.02),2025-S2,93.5,0.49,668.8,346.6,0.0,1010.3,1010.347310338843,184,22941,A1,0.02,0.23
A1 ACI puro (g=0.02),2026-S1,89.1,0.76,404.6,185.7,0.0,799.8,799.7582202190148,151,19146,A1,0.02,0.23
A1 ACI puro (g=0.02),TEST_COMPLETO,90.2,0.43,550.8,250.5,0.0,935.7,935.7296400302997,638,77868,A1,0.02,0.23
A1 ACI puro (g=0.05),test_pre,92.4,1.16,717.7,361.6,0.0,985.7,985.6776033657499,30,3390,A1,0.05,0.21
A1 ACI puro (g=0.05),test_transition,92.1,0.67,821.6,446.2,0.0,1369.9,1369.9427571258414,92,10607,A1,0.05,0.21
