metodo,gamma,ventana,IS_total,IS_finitos,ancho,cobertura,se_cluster,pct_infinito,n
ACI,0.005,,372.3577508213533,372.3577508213533,281.2154199992899,87.86,1.65,0.0,13596
ACI,0.01,,394.81391588303165,394.81391588303165,311.5954471723339,88.52,1.65,0.0,13596
ACI,0.02,,460.022018863467,460.022018863467,386.37140036140954,89.61,1.69,0.0,13596
ACI,0.05,,inf,772.6794483274629,686.7494415029738,90.79,1.76,30.17,13596
ACI,0.1,,inf,371.9891797615406,282.69414766795944,90.94,1.62,36.67,13596
ACI,0.2,,inf,357.659938781833,249.10373732821407,90.62,1.43,34.99,13596
Transporte+ACI,0.005,30.0,465.0602404623129,465.0602404623129,387.8644136913466,89.07,1.83,0.0,13596
Transporte+ACI,0.005,45.0,461.1011135929663,461.1011135929663,392.2393798181164,89.78,1.81,0.0,13596
Transporte+ACI,0.005,60.0,482.74734706679027,482.74734706679027,411.88654405895846,89.65,1.78,0.0,13596
Transporte+ACI,0.005,90.0,437.6971251270153,437.6971251270153,360.81680491457223,89.05,1.68,0.0,13596
Transporte+ACI,0.005,120.0,414.5363561585414,414.5363561585414,333.8158076036618,88.74,1.71,0.0,13596
Transporte+ACI,0.01,30.0,528.6975388633526,528.6975388633526,455.71587598444626,89.44,1.85,0.0,13596
Transporte+ACI,0.01,45.0,510.23236953382246,510.23236953382246,444.15012372205103,90.06,1.83,0.0,13596
Transporte+ACI,0.01,60.0,523.6541634394139,523.6541634394139,456.9174105501359,90.12,1.8,0.0,13596
Transporte+ACI,0.01,90.0,464.6186659094434,464.6186659094434,392.87857742491406,89.63,1.7,0.0,13596
Transporte+ACI,0.01,120.0,444.11674665029255,444.11674665029255,369.4504574528873,89.27,1.73,0.0,13596
Transporte+ACI,0.02,30.0,inf,749.7104568711995,674.0392923766818,89.93,1.87,11.29,13596
Transporte+ACI,0.02,45.0,inf,763.3166773599562,695.9828323434635,90.51,1.86,8.02,13596
Transporte+ACI,0.02,60.0,inf,718.8806806658264,653.3742306000166,90.62,1.84,5.61,13596
Transporte+ACI,0.02,90.0,inf,659.9620949035266,595.718413053124,90.49,1.74,0.8,13596
Transporte+ACI,0.02,120.0,inf,630.9765417904388,563.1464936115691,90.15,1.76,1.6,13596
Transporte+ACI,0.05,30.0,inf,582.5309971744525,484.03332918215193,90.57,1.87,41.66,13596
Transporte+ACI,0.05,45.0,inf,667.0018962057275,571.0971386569835,90.69,1.89,39.2,13596
Transporte+ACI,0.05,60.0,inf,777.2920251914376,685.8536197006297,90.84,1.88,36.74,13596
Transporte+ACI,0.05,90.0,inf,672.9361249525781,588.5845605661261,91.09,1.83,34.27,13596
Transporte+ACI,0.05,120.0,inf,495.337068189485,408.4023044771203,90.98,1.84,35.09,13596
Transporte+ACI,0.1,30.0,inf,447.63627614052194,358.3944012659115,91.2,1.55,34.16,13596
Transporte+ACI,0.1,45.0,inf,589.4999341545919,505.8522901476038,91.44,1.6,35.83,13596
Transporte+ACI,0.1,60.0,inf,520.5597283089952,432.9982886011766,91.34,1.69,39.97,13596
Transporte+ACI,0.1,90.0,inf,403.06370275003013,319.8069709397786,91.45,1.64,37.5,13596
Transporte+ACI,0.1,120.0,inf,367.5024707200927,282.1140016602874,91.28,1.63,37.5,13596
Transporte+ACI,0.2,30.0,inf,445.58569065478315,336.66797645406416,90.74,1.49,34.97,13596
Transporte+ACI,0.2,45.0,inf,413.82656588678884,320.7760330963808,90.9,1.41,26.68,13596
Transporte+ACI,0.2,60.0,inf,394.37232764322516,299.79305287082684,90.87,1.44,27.5,13596
Transporte+ACI,0.2,90.0,inf,458.361152531209,364.8522720098024,91.0,1.41,26.7,13596
Transporte+ACI,0.2,120.0,inf,405.93362207101205,304.37332122162115,90.72,1.46,33.31,13596
