metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,familia,crps,cota,gamma
ACI (g=0.02),test_pre,93.0,1.06,759.3,380.9,0.0,882.5,882.4789483402805,30,3390,cota_alpha,,sin cota,0.02
ACI (g=0.02),test_transition,93.5,0.55,915.2,509.1,0.0,1158.0,1158.024997182354,92,10607,cota_alpha,,sin cota,0.02
ACI (g=0.02),2025-S1,85.7,1.16,345.2,136.7,0.0,542.2,542.2284709182577,181,21784,cota_alpha,,sin cota,0.02
ACI (g=0.02),2025-S2,93.5,0.49,668.8,346.6,0.0,839.5,839.5488621149351,184,22941,cota_alpha,,sin cota,0.02
ACI (g=0.02),2026-S1,89.1,0.76,404.6,185.7,0.0,602.2,602.1592214329904,151,19146,cota_alpha,,sin cota,0.02
ACI (g=0.02),TEST_COMPLETO,90.2,0.43,550.8,250.5,0.0,743.3,743.2541055350705,638,77868,cota_alpha,,sin cota,0.02
Transporte+ACI (g=0.02),test_pre,92.6,1.07,713.3,359.1,0.0,845.4,845.3612280240304,30,3390,cota_alpha,,sin cota,0.02
Transporte+ACI (g=0.02),test_transition,91.1,0.8,787.3,422.3,0.0,1088.8,1088.7713457176126,92,10607,cota_alpha,,sin cota,0.02
Transporte+ACI (g=0.02),2025-S1,86.5,1.17,436.6,150.1,0.6,630.0,inf,181,21784,cota_alpha,,sin cota,0.02
Transporte+ACI (g=0.02),2025-S2,92.4,0.6,986.1,401.7,1.1,1197.7,inf,184,22941,cota_alpha,,sin cota,0.02
Transporte+ACI (g=0.02),2026-S1,90.3,0.73,459.4,206.1,0.0,639.7,639.7341156863938,151,19146,cota_alpha,,sin cota,0.02
Transporte+ACI (g=0.02),TEST_COMPLETO,90.1,0.44,663.3,266.6,0.5,870.9,inf,638,77868,cota_alpha,,sin cota,0.02
ACI (g=0.05),test_pre,92.4,1.16,717.7,361.6,0.0,851.7,851.6803622107681,30,3390,cota_alpha,,sin cota,0.05
ACI (g=0.05),test_transition,92.1,0.67,821.6,446.2,0.0,1095.8,1095.753339596203,92,10607,cota_alpha,,sin cota,0.05
ACI (g=0.05),2025-S1,86.6,1.14,404.8,144.0,2.8,595.2,inf,181,21784,cota_alpha,,sin cota,0.05
ACI (g=0.05),2025-S2,92.5,0.58,609.3,311.1,11.8,836.0,inf,184,22941,cota_alpha,,sin cota,0.05
ACI (g=0.05),2026-S1,89.8,0.75,445.8,197.0,0.0,632.6,632.5737946441352,151,19146,cota_alpha,,sin cota,0.05
ACI (g=0.05),TEST_COMPLETO,90.1,0.43,544.4,244.0,4.2,753.1,inf,638,77868,cota_alpha,,sin cota,0.05
Transporte+ACI (g=0.05),test_pre,92.0,1.19,680.7,345.8,0.0,822.3,822.340334188587,30,3390,cota_alpha,,sin cota,0.05
Transporte+ACI (g=0.05),test_transition,90.9,0.81,805.6,420.2,0.0,1107.0,1107.0265640645284,92,10607,cota_alpha,,sin cota,0.05
Transporte+ACI (g=0.05),2025-S1,87.4,1.13,445.6,142.8,9.9,638.8,inf,181,21784,cota_alpha,,sin cota,0.05
Transporte+ACI (g=0.05),2025-S2,91.6,0.63,717.7,318.7,10.7,966.2,inf,184,22941,cota_alpha,,sin cota,0.05
Transporte+ACI (g=0.05),2026-S1,90.5,0.72,488.7,210.8,0.0,662.8,662.773435530167,151,19146,cota_alpha,,sin cota,0.05
Transporte+ACI (g=0.05),TEST_COMPLETO,90.1,0.43,595.9,248.5,5.9,812.9,inf,638,77868,cota_alpha,,sin cota,0.05
ACI (g=0.02),test_pre,93.0,1.06,759.3,380.9,0.0,882.5,882.4789483402805,30,3390,cota_alpha,,alpha_min=0.005,0.02
ACI (g=0.02),test_transition,93.5,0.55,915.2,509.1,0.0,1158.0,1158.024997182354,92,10607,cota_alpha,,alpha_min=0.005,0.02
ACI (g=0.02),2025-S1,85.7,1.16,345.2,136.7,0.0,542.2,542.2284709182577,181,21784,cota_alpha,,alpha_min=0.005,0.02
ACI (g=0.02),2025-S2,93.5,0.49,668.8,346.6,0.0,839.5,839.5488621149351,184,22941,cota_alpha,,alpha_min=0.005,0.02
ACI (g=0.02),2026-S1,89.1,0.76,404.6,185.7,0.0,602.2,602.1592214329904,151,19146,cota_alpha,,alpha_min=0.005,0.02
ACI (g=0.02),TEST_COMPLETO,90.2,0.43,550.8,250.5,0.0,743.3,743.2541055350705,638,77868,cota_alpha,,alpha_min=0.005,0.02
Transporte+ACI (g=0.02),test_pre,92.6,1.07,713.3,359.1,0.0,845.4,845.3612280240304,30,3390,cota_alpha,,alpha_min=0.005,0.02
Transporte+ACI (g=0.02),test_transition,91.1,0.8,787.3,422.3,0.0,1088.8,1088.7713457176126,92,10607,cota_alpha,,alpha_min=0.005,0.02
Transporte+ACI (g=0.02),2025-S1,86.5,1.17,460.8,151.8,0.0,653.1,653.1228780725293,181,21784,cota_alpha,,alpha_min=0.005,0.02
Transporte+ACI (g=0.02),2025-S2,92.2,0.61,899.2,391.1,0.0,1110.9,1110.8876018827607,184,22941,cota_alpha,,alpha_min=0.005,0.02
Transporte+ACI (g=0.02),2026-S1,90.3,0.73,459.1,206.0,0.0,639.5,639.5335243395277,151,19146,cota_alpha,,alpha_min=0.005,0.02
Transporte+ACI (g=0.02),TEST_COMPLETO,90.0,0.44,645.0,266.1,0.0,852.4,852.3576094770274,638,77868,cota_alpha,,alpha_min=0.005,0.02
ACI (g=0.05),test_pre,92.4,1.16,717.7,361.6,0.0,851.7,851.6803622107681,30,3390,cota_alpha,,alpha_min=0.005,0.05
ACI (g=0.05),test_transition,92.1,0.67,821.6,446.2,0.0,1095.8,1095.753339596203,92,10607,cota_alpha,,alpha_min=0.005,0.05
ACI (g=0.05),2025-S1,86.6,1.14,479.9,153.9,0.0,665.0,665.0223195455944,181,21784,cota_alpha,,alpha_min=0.005,0.05
ACI (g=0.05),2025-S2,91.3,0.58,553.8,275.3,0.0,764.7,764.7362861340978,184,22941,cota_alpha,,alpha_min=0.005,0.05
ACI (g=0.05),2026-S1,89.8,0.75,445.9,197.1,0.0,632.6,632.6101007762933,151,19146,cota_alpha,,alpha_min=0.005,0.05
ACI (g=0.05),TEST_COMPLETO,89.8,0.43,550.2,240.5,0.0,753.2,753.2293938413457,638,77868,cota_alpha,,alpha_min=0.005,0.05
Transporte+ACI (g=0.05),test_pre,92.0,1.19,680.7,345.8,0.0,822.3,822.340334188587,30,3390,cota_alpha,,alpha_min=0.005,0.05
Transporte+ACI (g=0.05),test_transition,90.9,0.81,805.6,420.2,0.0,1107.0,1107.0265640645284,92,10607,cota_alpha,,alpha_min=0.005,0.05
Transporte+ACI (g=0.05),2025-S1,87.0,1.13,716.6,165.8,0.0,895.7,895.6601421492733,181,21784,cota_alpha,,alpha_min=0.005,0.05
Transporte+ACI (g=0.05),2025-S2,90.4,0.64,612.9,282.3,0.0,847.0,847.0490744328365,184,22941,cota_alpha,,alpha_min=0.005,0.05
Transporte+ACI (g=0.05),2026-S1,90.5,0.72,488.7,210.5,0.0,662.8,662.8161836980362,151,19146,cota_alpha,,alpha_min=0.005,0.05
Transporte+ACI (g=0.05),TEST_COMPLETO,89.6,0.43,640.6,248.5,0.0,849.7,849.6873748414989,638,77868,cota_alpha,,alpha_min=0.005,0.05
ACI (g=0.02),test_pre,93.0,1.06,759.3,380.9,0.0,882.5,882.4789483402805,30,3390,cota_alpha,,alpha_min=0.01,0.02
ACI (g=0.02),test_transition,93.5,0.55,915.2,509.1,0.0,1158.0,1158.024997182354,92,10607,cota_alpha,,alpha_min=0.01,0.02
ACI (g=0.02),2025-S1,85.7,1.16,345.2,136.7,0.0,542.2,542.2284709182577,181,21784,cota_alpha,,alpha_min=0.01,0.02
ACI (g=0.02),2025-S2,93.5,0.49,668.8,346.6,0.0,839.5,839.5488621149351,184,22941,cota_alpha,,alpha_min=0.01,0.02
ACI (g=0.02),2026-S1,89.1,0.76,404.6,185.7,0.0,602.2,602.1592214329904,151,19146,cota_alpha,,alpha_min=0.01,0.02
ACI (g=0.02),TEST_COMPLETO,90.2,0.43,550.8,250.5,0.0,743.3,743.2541055350705,638,77868,cota_alpha,,alpha_min=0.01,0.02
Transporte+ACI (g=0.02),test_pre,92.6,1.07,713.3,359.1,0.0,845.4,845.3612280240304,30,3390,cota_alpha,,alpha_min=0.01,0.02
Transporte+ACI (g=0.02),test_transition,91.1,0.8,787.3,422.3,0.0,1088.8,1088.7713457176126,92,10607,cota_alpha,,alpha_min=0.01,0.02
Transporte+ACI (g=0.02),2025-S1,86.5,1.17,435.8,151.7,0.0,628.2,628.1969766978356,181,21784,cota_alpha,,alpha_min=0.01,0.02
Transporte+ACI (g=0.02),2025-S2,92.1,0.61,825.4,376.4,0.0,1039.5,1039.4770753689977,184,22941,cota_alpha,,alpha_min=0.01,0.02
Transporte+ACI (g=0.02),2026-S1,90.3,0.73,459.0,205.9,0.0,639.5,639.5485369367145,151,19146,cota_alpha,,alpha_min=0.01,0.02
Transporte+ACI (g=0.02),TEST_COMPLETO,90.0,0.44,616.3,263.1,0.0,824.3,824.3496049936346,638,77868,cota_alpha,,alpha_min=0.01,0.02
ACI (g=0.05),test_pre,92.4,1.16,717.7,361.6,0.0,851.7,851.6803622107681,30,3390,cota_alpha,,alpha_min=0.01,0.05
ACI (g=0.05),test_transition,92.1,0.67,821.6,446.2,0.0,1095.8,1095.753339596203,92,10607,cota_alpha,,alpha_min=0.01,0.05
ACI (g=0.05),2025-S1,86.6,1.14,438.0,153.4,0.0,623.1,623.0667224532623,181,21784,cota_alpha,,alpha_min=0.01,0.05
ACI (g=0.05),2025-S2,91.2,0.58,546.0,274.0,0.0,757.0,757.0320110892175,184,22941,cota_alpha,,alpha_min=0.01,0.05
ACI (g=0.05),2026-S1,89.8,0.75,445.6,196.9,0.0,632.4,632.4195092977639,151,19146,cota_alpha,,alpha_min=0.01,0.05
ACI (g=0.05),TEST_COMPLETO,89.8,0.43,536.1,239.4,0.0,739.2,739.1754363066475,638,77868,cota_alpha,,alpha_min=0.01,0.05
Transporte+ACI (g=0.05),test_pre,92.0,1.19,680.7,345.8,0.0,822.3,822.340334188587,30,3390,cota_alpha,,alpha_min=0.01,0.05
Transporte+ACI (g=0.05),test_transition,90.9,0.81,805.6,420.2,0.0,1107.0,1107.0265640645284,92,10607,cota_alpha,,alpha_min=0.01,0.05
Transporte+ACI (g=0.05),2025-S1,86.9,1.13,589.0,162.2,0.0,769.1,769.053849512104,181,21784,cota_alpha,,alpha_min=0.01,0.05
Transporte+ACI (g=0.05),2025-S2,90.4,0.64,589.1,277.6,0.0,823.7,823.7442646299049,184,22941,cota_alpha,,alpha_min=0.01,0.05
Transporte+ACI (g=0.05),2026-S1,90.5,0.72,488.8,210.7,0.0,662.7,662.7200883768029,151,19146,cota_alpha,,alpha_min=0.01,0.05
Transporte+ACI (g=0.05),TEST_COMPLETO,89.6,0.43,597.9,246.0,0.0,807.4,807.3790201705496,638,77868,cota_alpha,,alpha_min=0.01,0.05
ACI (g=0.02),test_pre,93.0,1.06,759.3,380.9,0.0,882.5,882.4789483402805,30,3390,cota_alpha,,alpha_min=0.02,0.02
ACI (g=0.02),test_transition,93.5,0.55,915.2,509.1,0.0,1158.0,1158.024997182354,92,10607,cota_alpha,,alpha_min=0.02,0.02
ACI (g=0.02),2025-S1,85.7,1.16,344.4,136.6,0.0,541.5,541.5021732418892,181,21784,cota_alpha,,alpha_min=0.02,0.02
ACI (g=0.02),2025-S2,93.4,0.49,657.3,339.8,0.0,829.1,829.1468854298483,184,22941,cota_alpha,,alpha_min=0.02,0.02
ACI (g=0.02),2026-S1,89.1,0.76,404.6,185.8,0.0,602.2,602.1631415829233,151,19146,cota_alpha,,alpha_min=0.02,0.02
ACI (g=0.02),TEST_COMPLETO,90.2,0.43,547.2,249.2,0.0,740.0,739.9873160898045,638,77868,cota_alpha,,alpha_min=0.02,0.02
Transporte+ACI (g=0.02),test_pre,92.6,1.07,713.3,359.1,0.0,845.4,845.3612280240304,30,3390,cota_alpha,,alpha_min=0.02,0.02
Transporte+ACI (g=0.02),test_transition,91.1,0.8,787.3,422.3,0.0,1088.8,1088.7713457176126,92,10607,cota_alpha,,alpha_min=0.02,0.02
Transporte+ACI (g=0.02),2025-S1,86.5,1.17,416.7,151.7,0.0,609.0,609.0197878980383,181,21784,cota_alpha,,alpha_min=0.02,0.02
Transporte+ACI (g=0.02),2025-S2,91.8,0.61,730.2,353.2,0.0,948.8,948.7687131896138,184,22941,cota_alpha,,alpha_min=0.02,0.02
Transporte+ACI (g=0.02),2026-S1,90.2,0.73,458.2,205.9,0.0,639.3,639.2743640630114,151,19146,cota_alpha,,alpha_min=0.02,0.02
Transporte+ACI (g=0.02),TEST_COMPLETO,89.9,0.44,582.7,258.3,0.0,792.2,792.19331831089,638,77868,cota_alpha,,alpha_min=0.02,0.02
ACI (g=0.05),test_pre,92.4,1.16,717.7,361.6,0.0,851.7,851.6803622107681,30,3390,cota_alpha,,alpha_min=0.02,0.05
ACI (g=0.05),test_transition,92.1,0.67,821.6,446.2,0.0,1095.8,1095.753339596203,92,10607,cota_alpha,,alpha_min=0.02,0.05
ACI (g=0.05),2025-S1,86.6,1.14,409.7,151.6,0.0,594.8,594.8221520152874,181,21784,cota_alpha,,alpha_min=0.02,0.05
ACI (g=0.05),2025-S2,91.1,0.58,536.2,268.2,0.0,747.8,747.8077922038183,184,22941,cota_alpha,,alpha_min=0.02,0.05
ACI (g=0.05),2026-S1,89.8,0.75,445.7,197.0,0.0,632.5,632.469107838081,151,19146,cota_alpha,,alpha_min=0.02,0.05
ACI (g=0.05),TEST_COMPLETO,89.7,0.43,525.3,237.7,0.0,728.6,728.5684743425817,638,77868,cota_alpha,,alpha_min=0.02,0.05
Transporte+ACI (g=0.05),test_pre,92.0,1.19,680.7,345.8,0.0,822.3,822.340334188587,30,3390,cota_alpha,,alpha_min=0.02,0.05
Transporte+ACI (g=0.05),test_transition,90.9,0.81,805.6,420.2,0.0,1107.0,1107.0265640645284,92,10607,cota_alpha,,alpha_min=0.02,0.05
Transporte+ACI (g=0.05),2025-S1,86.7,1.14,484.5,156.6,0.0,667.4,667.4131310610738,181,21784,cota_alpha,,alpha_min=0.02,0.05
Transporte+ACI (g=0.05),2025-S2,90.3,0.64,557.8,270.7,0.0,793.3,793.3128051836072,184,22941,cota_alpha,,alpha_min=0.02,0.05
Transporte+ACI (g=0.05),2026-S1,90.5,0.73,488.5,210.7,0.0,662.7,662.6961755297245,151,19146,cota_alpha,,alpha_min=0.02,0.05
Transporte+ACI (g=0.05),TEST_COMPLETO,89.5,0.43,559.4,241.5,0.0,770.0,769.9730593488396,638,77868,cota_alpha,,alpha_min=0.02,0.05
