metodo,d_IS,IS_lo,IS_hi,significativo,d_cob_pp,cob_lo,cob_hi,pct_descartado
B2 distribucion movil 60d,-391.7,-425.3,-358.4,si,-5.98,-7.04,-4.93,0.0
B3 CQR unilateral (GBM),-376.0,-406.9,-346.1,si,-2.64,-3.19,-2.06,0.0
B1 cuantil empirico 365d,-316.3,-347.5,-285.6,si,-5.3,-6.44,-4.14,0.0
B4 lognormal inflada en cero,-38.2,-66.2,-10.2,si,-10.1,-11.12,-9.1,0.0
ACI (g=0.02),-38.1,-53.9,-21.9,si,-2.23,-2.57,-1.9,0.0
ACI (g=0.05),-37.8,-60.3,-10.1,si,-2.36,-2.76,-1.94,4.25
"ACI (g=0.005, Fase 3)",-37.3,-44.8,-29.7,si,-1.61,-1.79,-1.45,0.0
Ventana deslizante 60d,-37.0,-55.2,-18.4,si,-2.62,-3.02,-2.24,0.0
"Transporte+ACI (g=0.005, v=120, Fase 3)",-16.0,-34.3,2.4,no,-2.5,-2.91,-2.11,0.0
Transporte+ACI (g=0.05),27.2,-10.0,68.7,no,-2.42,-2.92,-1.91,6.08
Transporte+ACI (g=0.02),101.2,40.0,175.2,si,-2.42,-2.9,-1.95,0.47
