metodo,eje,grupo,cobertura,se_cluster,desvio_pp,ancho_medio,pct_infinito,n,n_dias
M0 split agrupado (manuscrito),tecnologia,Eólica,92.43,0.42,2.43,470.2,0.0,33093,638
M0 split agrupado (manuscrito),tecnologia,Solar,92.53,0.42,2.53,832.3,0.0,44775,638
M0 split agrupado (manuscrito),tamano de central,pequena,93.59,0.35,3.59,247.0,0.0,25348,638
M0 split agrupado (manuscrito),tamano de central,mediana,92.72,0.41,2.72,678.2,0.0,25273,638
M0 split agrupado (manuscrito),tamano de central,grande,91.24,0.44,1.24,1079.9,0.0,27247,638
M0 split agrupado (manuscrito),region,Antofagasta,94.26,0.44,4.26,1052.4,0.0,26926,638
M0 split agrupado (manuscrito),region,Arica y Parinacota,94.83,0.88,4.83,1164.1,0.0,638,638
M0 split agrupado (manuscrito),region,Atacama,90.92,0.52,0.92,851.4,0.0,15755,638
M0 split agrupado (manuscrito),region,Biobío,88.48,0.71,-1.52,151.4,0.0,6380,638
M0 split agrupado (manuscrito),region,Coquimbo,93.0,0.59,3.0,358.7,0.0,9192,638
M0 split agrupado (manuscrito),region,La Araucanía,90.07,0.8,0.07,323.8,0.0,5104,638
M0 split agrupado (manuscrito),region,Libertador General Bernardo O'Higgins,93.34,0.76,3.34,79.7,0.0,2356,638
M0 split agrupado (manuscrito),region,Los Lagos,93.57,0.76,3.57,199.3,0.0,2552,638
M0 split agrupado (manuscrito),region,Maule,93.5,0.79,3.5,308.0,0.0,1178,638
M0 split agrupado (manuscrito),region,Metropolitana de Santiago,94.38,0.56,4.38,327.9,0.0,2484,638
M0 split agrupado (manuscrito),region,Tarapacá,91.27,0.63,1.27,442.4,0.0,3852,638
M0 split agrupado (manuscrito),region,Valparaíso,94.36,0.68,4.36,579.0,0.0,1451,638
M0 split agrupado (manuscrito),evento,alto (decil sup.),91.9,0.61,1.9,953.8,0.0,30831,254
M0 split agrupado (manuscrito),evento,resto,92.87,0.46,2.87,497.9,0.0,47037,384
M1 conformal por bloques de dia,tecnologia,Eólica,92.7,0.41,2.7,483.1,0.0,33093,638
M1 conformal por bloques de dia,tecnologia,Solar,92.76,0.41,2.76,855.0,0.0,44775,638
M1 conformal por bloques de dia,tamano de central,pequena,93.86,0.35,3.86,253.7,0.0,25348,638
M1 conformal por bloques de dia,tamano de central,mediana,92.96,0.4,2.96,696.7,0.0,25273,638
M1 conformal por bloques de dia,tamano de central,grande,91.47,0.44,1.47,1109.5,0.0,27247,638
M1 conformal por bloques de dia,region,Antofagasta,94.43,0.43,4.43,1080.9,0.0,26926,638
M1 conformal por bloques de dia,region,Arica y Parinacota,95.14,0.85,5.14,1195.4,0.0,638,638
M1 conformal por bloques de dia,region,Atacama,91.21,0.51,1.21,874.5,0.0,15755,638
