metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n
M0 split agrupado (manuscrito),test_pre,93.5,1.03,799.1,399.7,0.0,1028.6,1028.6199818759424,30,3390
M0 split agrupado (manuscrito),test_transition,95.3,0.45,1203.3,667.5,0.0,1587.6,1587.584564697619,92,10607
M0 split agrupado (manuscrito),2025-S1,89.4,1.04,454.8,179.4,0.0,745.2,745.1781435303656,181,21784
M0 split agrupado (manuscrito),2025-S2,94.0,0.45,750.1,349.0,0.0,1023.7,1023.737611298686,184,22941
M0 split agrupado (manuscrito),2026-S1,92.5,0.58,534.9,244.7,0.0,820.3,820.2853457461563,151,19146
M0 split agrupado (manuscrito),TEST_COMPLETO,92.5,0.37,678.4,300.1,0.0,972.8,972.8032011279556,638,77868
M1 conformal por bloques de dia,test_pre,93.8,0.94,820.7,410.7,0.0,1041.8,1041.7966900125366,30,3390
M1 conformal por bloques de dia,test_transition,95.4,0.45,1235.6,685.6,0.0,1610.3,1610.344013913921,92,10607
M1 conformal por bloques de dia,2025-S1,89.7,1.03,467.4,185.0,0.0,750.2,750.1849859449164,181,21784
M1 conformal por bloques de dia,2025-S2,94.2,0.44,770.5,358.6,0.0,1035.9,1035.9408145207003,184,22941
M1 conformal por bloques de dia,2026-S1,92.7,0.57,549.6,251.7,0.0,826.7,826.7064166280173,151,19146
M1 conformal por bloques de dia,TEST_COMPLETO,92.7,0.36,696.9,308.5,0.0,983.1,983.05181521589,638,77868
M2 Mondrian por tecnologia,test_pre,93.8,0.95,756.5,405.6,0.0,1014.8,1014.8234405044943,30,3390
M2 Mondrian por tecnologia,test_transition,95.0,0.45,1161.7,675.4,0.0,1582.8,1582.844060965711,92,10607
M2 Mondrian por tecnologia,2025-S1,89.0,1.06,432.1,179.6,0.0,747.0,747.0154607564574,181,21784
M2 Mondrian por tecnologia,2025-S2,93.9,0.48,723.2,353.0,0.0,1004.0,1003.985566766989,184,22941
M2 Mondrian por tecnologia,2026-S1,92.3,0.58,513.7,245.3,0.0,822.3,822.2806805096037,151,19146
M2 Mondrian por tecnologia,TEST_COMPLETO,92.3,0.37,651.4,300.2,0.0,966.7,966.7422049022779,638,77868
M2 Mondrian por region,test_pre,93.9,0.98,680.3,422.9,0.0,934.6,934.6101695533215,30,3390
M2 Mondrian por region,test_transition,94.8,0.43,1085.4,669.8,0.0,1523.7,1523.7384646445162,92,10607
M2 Mondrian por region,2025-S1,88.8,1.09,392.4,180.3,0.0,723.0,722.9887069239619,181,21784
M2 Mondrian por region,2025-S2,93.6,0.48,656.1,353.0,0.0,974.7,974.6898954261477,184,22941
M2 Mondrian por region,2026-S1,92.3,0.6,471.5,244.3,0.0,792.8,792.8336097227407,151,19146
M2 Mondrian por region,TEST_COMPLETO,92.1,0.38,596.4,299.5,0.0,932.6,932.6059683518849,638,77868
M2 Mondrian por tercil de potencia,test_pre,93.6,0.99,794.2,396.9,0.0,1026.1,1026.125870059362,30,3390
M2 Mondrian por tercil de potencia,test_transition,95.3,0.45,1196.2,667.5,0.0,1583.8,1583.759526161037,92,10607
M2 Mondrian por tercil de potencia,2025-S1,89.4,1.04,452.2,179.6,0.0,744.3,744.342818570098,181,21784
M2 Mondrian por tercil de potencia,2025-S2,94.0,0.45,745.8,350.2,0.0,1022.0,1021.9569171216323,184,22941
M2 Mondrian por tercil de potencia,2026-S1,92.5,0.58,531.9,244.1,0.0,819.7,819.7322224155238,151,19146
M2 Mondrian por tercil de potencia,TEST_COMPLETO,92.5,0.37,674.5,300.9,0.0,971.3,971.2792767154332,638,77868
M3 conformal por central,test_pre,94.8,0.86,733.6,391.9,0.0,917.0,916.956534885453,30,3390
M3 conformal por central,test_transition,95.4,0.43,1143.0,655.0,0.0,1482.0,1481.9883552798296,92,10607
M3 conformal por central,2025-S1,89.1,1.09,424.8,177.2,0.0,712.6,712.57693277918,181,21784
M3 conformal por central,2025-S2,94.1,0.48,702.0,353.3,0.0,953.1,953.0782999851957,184,22941
M3 conformal por central,2026-S1,92.6,0.61,500.9,241.5,0.0,762.2,762.2333178178106,151,19146
M3 conformal por central,TEST_COMPLETO,92.5,0.39,636.4,298.3,0.0,909.3,909.3465534529804,638,77868
"ACI (g=0.02), referencia",test_pre,93.0,1.06,759.3,380.9,0.0,1005.7,1005.6540345352344,30,3390
"ACI (g=0.02), referencia",test_transition,93.5,0.55,915.2,509.1,0.0,1400.8,1400.8490873131962,92,10607
"ACI (g=0.02), referencia",2025-S1,85.7,1.16,345.2,136.7,0.0,739.3,739.2982754717776,181,21784
"ACI (g=0.02), referencia",2025-S2,93.5,0.49,668.8,346.6,0.0,1010.3,1010.347310338843,184,22941
"ACI (g=0.02), referencia",2026-S1,89.1,0.76,404.6,185.7,0.0,799.8,799.7582202190148,151,19146
"ACI (g=0.02), referencia",TEST_COMPLETO,90.2,0.43,550.8,250.5,0.0,935.7,935.7296400302997,638,77868
"Transporte+ACI (g=0.05), referencia",test_pre,92.0,1.19,680.7,345.8,0.0,963.9,963.948722485679,30,3390
"Transporte+ACI (g=0.05), referencia",test_transition,90.9,0.81,805.6,420.2,0.0,1408.5,1408.4852714926012,92,10607
"Transporte+ACI (g=0.05), referencia",2025-S1,87.4,1.13,445.6,142.8,9.9,832.0,inf,181,21784
"Transporte+ACI (g=0.05), referencia",2025-S2,91.6,0.63,717.7,318.7,10.7,1214.7,inf,184,22941
"Transporte+ACI (g=0.05), referencia",2026-S1,90.5,0.72,488.7,210.8,0.0,836.9,836.8564345634478,151,19146
"Transporte+ACI (g=0.05), referencia",TEST_COMPLETO,90.1,0.43,595.9,248.5,5.9,1029.9,inf,638,77868
