metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,w1_vs_calibracion
Split estatico,oficial: oct-dic 2024,95.3,0.45,1203.3,667.5,0.0,1587.6,1587.584564697619,92,10607,1.253
ACI (g=0.02),oficial: oct-dic 2024,93.5,0.55,915.2,509.1,0.0,1400.8,1400.8490873131962,92,10607,1.253
Transporte+ACI (g=0.05),oficial: oct-dic 2024,90.9,0.81,805.9,419.6,0.0,1409.3,1409.2593547438003,92,10607,1.253
Split estatico,sep-dic 2024,94.9,0.43,1105.4,596.7,0.0,1452.2,1452.2062739377786,122,13997,1.179
ACI (g=0.02),sep-dic 2024,93.4,0.49,877.4,479.3,0.0,1305.1,1305.1349179256636,122,13997,1.179
Transporte+ACI (g=0.05),sep-dic 2024,91.1,0.67,775.9,402.8,0.0,1301.6,1301.59900108683,122,13997,1.179
Split estatico,nov 2024-ene 2025,94.8,0.79,1105.2,586.3,0.0,1406.3,1406.2655469505432,92,10762,1.109
ACI (g=0.02),nov 2024-ene 2025,91.2,1.17,787.9,406.0,0.0,1249.9,1249.8661047918768,92,10762,1.109
Transporte+ACI (g=0.05),nov 2024-ene 2025,88.6,1.43,794.6,360.3,5.5,1372.6,inf,92,10762,1.109
Split estatico,oct 2024-feb 2025,94.5,0.57,1000.3,518.3,0.0,1327.4,1327.380285849562,151,17621,1.002
ACI (g=0.02),oct 2024-feb 2025,91.2,0.83,731.9,372.7,0.0,1197.4,1197.4147688016726,151,17621,1.002
Transporte+ACI (g=0.05),oct 2024-feb 2025,89.5,1.01,791.1,346.4,8.1,1389.7,inf,151,17621,1.002
Split estatico,oct-nov 2024,94.0,0.58,1108.1,633.8,0.0,1637.1,1637.079284429227,61,6970,1.342
ACI (g=0.02),oct-nov 2024,92.4,0.73,896.2,511.9,0.0,1542.2,1542.2471180302298,61,6970,1.342
Transporte+ACI (g=0.05),oct-nov 2024,89.9,1.08,841.6,450.5,0.0,1606.0,1605.959696285364,61,6970,1.342
Split estatico,sep 2024-mar 2025,94.3,0.5,967.8,498.9,0.0,1279.2,1279.177086074655,181,21011,0.992
ACI (g=0.02),sep 2024-mar 2025,91.5,0.72,736.3,374.5,0.0,1166.5,1166.4753137941418,181,21011,0.992
Transporte+ACI (g=0.05),sep 2024-mar 2025,89.9,0.87,772.2,346.4,6.8,1316.1,inf,181,21011,0.992
