estrato,desestacionalizacion,k_penalizacion,min_size,algoritmo,n_cp,fechas,hay_cp_2025,hay_cp_oct2024
solar_norte,mediana,0.5,2,pelt,2,2023-05;2024-01,False,False
solar_norte,mediana,0.5,2,binseg,2,2023-05;2024-01,False,False
solar_norte,mediana,0.5,3,pelt,2,2023-05;2024-01,False,False
solar_norte,mediana,0.5,3,binseg,2,2023-05;2024-01,False,False
solar_norte,mediana,0.5,4,pelt,2,2023-05;2024-01,False,False
solar_norte,mediana,0.5,4,binseg,2,2023-05;2024-01,False,False
solar_norte,mediana,1.0,2,pelt,2,2023-05;2024-01,False,False
solar_norte,mediana,1.0,2,binseg,2,2023-05;2024-01,False,False
solar_norte,mediana,1.0,3,pelt,2,2023-05;2024-01,False,False
solar_norte,mediana,1.0,3,binseg,2,2023-05;2024-01,False,False
solar_norte,mediana,1.0,4,pelt,2,2023-05;2024-01,False,False
solar_norte,mediana,1.0,4,binseg,2,2023-05;2024-01,False,False
solar_norte,mediana,2.0,2,pelt,1,2023-05,False,False
solar_norte,mediana,2.0,2,binseg,1,2023-05,False,False
solar_norte,mediana,2.0,3,pelt,1,2023-05,False,False
solar_norte,mediana,2.0,3,binseg,1,2023-05,False,False
solar_norte,mediana,2.0,4,pelt,1,2023-05,False,False
solar_norte,mediana,2.0,4,binseg,1,2023-05,False,False
solar_norte,mediana,3.0,2,pelt,1,2023-05,False,False
solar_norte,mediana,3.0,2,binseg,1,2023-05,False,False
solar_norte,mediana,3.0,3,pelt,1,2023-05,False,False
solar_norte,mediana,3.0,3,binseg,1,2023-05,False,False
solar_norte,mediana,3.0,4,pelt,1,2023-05,False,False
solar_norte,mediana,3.0,4,binseg,1,2023-05,False,False
solar_norte,mediana,5.0,2,pelt,1,2023-05,False,False
solar_norte,mediana,5.0,2,binseg,1,2023-05,False,False
solar_norte,mediana,5.0,3,pelt,1,2023-05,False,False
solar_norte,mediana,5.0,3,binseg,1,2023-05,False,False
solar_norte,mediana,5.0,4,pelt,1,2023-05,False,False
solar_norte,mediana,5.0,4,binseg,1,2023-05,False,False
solar_norte,media,0.5,2,pelt,2,2023-05;2024-01,False,False
solar_norte,media,0.5,2,binseg,2,2023-05;2024-01,False,False
solar_norte,media,0.5,3,pelt,2,2023-05;2024-01,False,False
solar_norte,media,0.5,3,binseg,2,2023-05;2024-01,False,False
solar_norte,media,0.5,4,pelt,2,2023-05;2024-01,False,False
solar_norte,media,0.5,4,binseg,2,2023-05;2024-01,False,False
solar_norte,media,1.0,2,pelt,2,2023-05;2024-01,False,False
solar_norte,media,1.0,2,binseg,2,2023-05;2024-01,False,False
solar_norte,media,1.0,3,pelt,2,2023-05;2024-01,False,False
solar_norte,media,1.0,3,binseg,2,2023-05;2024-01,False,False
solar_norte,media,1.0,4,pelt,2,2023-05;2024-01,False,False
solar_norte,media,1.0,4,binseg,2,2023-05;2024-01,False,False
solar_norte,media,2.0,2,pelt,1,2024-01,False,False
solar_norte,media,2.0,2,binseg,1,2024-01,False,False
solar_norte,media,2.0,3,pelt,1,2024-01,False,False
solar_norte,media,2.0,3,binseg,1,2024-01,False,False
solar_norte,media,2.0,4,pelt,1,2024-01,False,False
solar_norte,media,2.0,4,binseg,1,2024-01,False,False
solar_norte,media,3.0,2,pelt,1,2024-01,False,False
solar_norte,media,3.0,2,binseg,1,2024-01,False,False
solar_norte,media,3.0,3,pelt,1,2024-01,False,False
solar_norte,media,3.0,3,binseg,1,2024-01,False,False
solar_norte,media,3.0,4,pelt,1,2024-01,False,False
solar_norte,media,3.0,4,binseg,1,2024-01,False,False
solar_norte,media,5.0,2,pelt,1,2024-01,False,False
solar_norte,media,5.0,2,binseg,1,2024-01,False,False
solar_norte,media,5.0,3,pelt,1,2024-01,False,False
solar_norte,media,5.0,3,binseg,1,2024-01,False,False
solar_norte,media,5.0,4,pelt,1,2024-01,False,False
solar_norte,media,5.0,4,binseg,1,2024-01,False,False
solar_norte,stl,0.5,2,pelt,2,2023-05;2023-12,False,False
solar_norte,stl,0.5,2,binseg,2,2023-08;2024-08,False,False
solar_norte,stl,0.5,3,pelt,2,2023-05;2023-12,False,False
solar_norte,stl,0.5,3,binseg,2,2023-08;2024-08,False,False
solar_norte,stl,0.5,4,pelt,2,2023-05;2023-12,False,False
solar_norte,stl,0.5,4,binseg,2,2023-08;2024-08,False,False
solar_norte,stl,1.0,2,pelt,1,2023-08,False,False
solar_norte,stl,1.0,2,binseg,1,2023-08,False,False
solar_norte,stl,1.0,3,pelt,1,2023-08,False,False
solar_norte,stl,1.0,3,binseg,1,2023-08,False,False
solar_norte,stl,1.0,4,pelt,1,2023-08,False,False
solar_norte,stl,1.0,4,binseg,1,2023-08,False,False
solar_norte,stl,2.0,2,pelt,1,2023-08,False,False
solar_norte,stl,2.0,2,binseg,1,2023-08,False,False
solar_norte,stl,2.0,3,pelt,1,2023-08,False,False
solar_norte,stl,2.0,3,binseg,1,2023-08,False,False
solar_norte,stl,2.0,4,pelt,1,2023-08,False,False
solar_norte,stl,2.0,4,binseg,1,2023-08,False,False
solar_norte,stl,3.0,2,pelt,1,2023-08,False,False
solar_norte,stl,3.0,2,binseg,1,2023-08,False,False
solar_norte,stl,3.0,3,pelt,1,2023-08,False,False
solar_norte,stl,3.0,3,binseg,1,2023-08,False,False
solar_norte,stl,3.0,4,pelt,1,2023-08,False,False
solar_norte,stl,3.0,4,binseg,1,2023-08,False,False
solar_norte,stl,5.0,2,pelt,1,2023-08,False,False
solar_norte,stl,5.0,2,binseg,1,2023-08,False,False
solar_norte,stl,5.0,3,pelt,1,2023-08,False,False
solar_norte,stl,5.0,3,binseg,1,2023-08,False,False
solar_norte,stl,5.0,4,pelt,1,2023-08,False,False
solar_norte,stl,5.0,4,binseg,1,2023-08,False,False
sistema_sol_eol,mediana,0.5,2,pelt,2,2023-04;2024-01,False,False
sistema_sol_eol,mediana,0.5,2,binseg,2,2023-05;2024-01,False,False
sistema_sol_eol,mediana,0.5,3,pelt,2,2023-04;2024-01,False,False
sistema_sol_eol,mediana,0.5,3,binseg,2,2023-05;2024-01,False,False
sistema_sol_eol,mediana,0.5,4,pelt,2,2023-04;2024-01,False,False
sistema_sol_eol,mediana,0.5,4,binseg,2,2023-05;2024-01,False,False
