clave,doi,fuente,http,titulo_registro,titulo_exacto,titulo_cobertura,titulo_ok,autor1_registro,autor1_ok,anios_registro,anio_ok,revista_registro,revista_ok,coteja
oshaughnessy2020,10.1016/j.solener.2020.08.075,Crossref,200,Too much of a good thing? Global trends in the curtailment of solar PV,True,1.0,True,O'Shaughnessy,True,2020,True,Solar Energy,True,si
henriot2015,10.1016/j.eneco.2015.03.002,Crossref,200,Economic curtailment of intermittent renewable energy sources,True,1.0,True,Henriot,True,2015,True,Energy Economics,True,si
joos2018,10.1016/j.rser.2018.01.009,Crossref,200,Short-term integration costs of variable renewable energy: Wind curtailment and balancing in Britain and Germany,True,1.0,True,Joos,True,2018,True,Renewable and Sustainable Energy Reviews,True,si
tang2018,10.1016/j.rser.2018.07.021,Crossref,200,"Solar energy curtailment in China: Status quo, reasons and solutions",True,1.0,True,Tang,True,2018,True,Renewable and Sustainable Energy Reviews,True,si
schermeyer2018,10.1016/j.enpol.2017.10.037,Crossref,200,Renewable energy curtailment: A case study on today's and tomorrow's congestion management,True,1.0,True,Schermeyer,True,2018,True,Energy Policy,True,si
nycander2020,10.1016/j.renene.2020.01.059,Crossref,200,"Curtailment analysis for the Nordic power system considering transmission capacity, inertia limits and generation flexibility",True,1.0,True,Nycander,True,2020,True,Renewable Energy,True,si
yildiz2023,10.1016/j.rser.2023.113696,Crossref,200,Real-world data analysis of distributed PV and battery energy storage system curtailment in low voltage networks,True,1.0,True,Yildiz,True,2023,True,Renewable and Sustainable Energy Reviews,True,si
bunodiere2020,10.3390/en13184703,Crossref,200,"Renewable Energy Curtailment: Prediction Using a Logic-Based Forecasting Method and Mitigation Measures in Kyushu, Japan",True,1.0,True,Bunodiere,True,2020,True,Energies,True,si
denholm2019,10.1016/j.renene.2018.06.079,Crossref,200,Timescales of energy storage needed for reducing renewable energy curtailment,True,1.0,True,Denholm,True,2019,True,Renewable Energy,True,si
wang2019,10.1016/j.energy.2019.04.108,Crossref,200,Analysis of operation cost and wind curtailment using multi-objective unit commitment with battery energy storage,True,1.0,True,Wang,True,2019,True,Energy,True,si
rayit2021,10.1016/j.est.2021.102641,Crossref,200,Techno-economic optimisation of battery storage for grid-level energy services using curtailed energy from wind,True,1.0,True,Rayit,True,2021,True,Journal of Energy Storage,True,si
mohamad2021,10.1016/j.energy.2021.120105,Crossref,200,Optimum allocation of battery energy storage systems for power grid enhanced with solar energy,True,1.0,True,Mohamad,True,2021,True,Energy,True,si
vargas2015,10.1109/TPWRS.2014.2362922,Crossref,200,Wind Power Curtailment and Energy Storage in Transmission Congestion Management Considering Power Plants Ramp Rates,True,1.0,True,Vargas,True,2015,True,IEEE Transactions on Power Systems,True,si
fang2021,10.1016/j.apenergy.2020.116064,Crossref,200,Characteristics of locational uncertainty marginal price for correlated uncertainties of variable renewable generation and demands,True,1.0,True,Fang,True,2021,True,Applied Energy,True,si
foss1983,10.1109/TPAS.1983.317795,Crossref,200,Dynamic Thermal Line Ratings Part I Dynamic Ampacity Rating Algorithm,True,1.0,True,Foss,True,1983,True,IEEE Transactions on Power Apparatus and Systems,True,si
teh2016,10.1109/TR.2015.2495173,Crossref,200,Reliability Impact of Dynamic Thermal Rating System in Wind Power Integrated Network,True,1.0,True,Teh,True,2016,True,IEEE Transactions on Reliability,True,si
lai2022,10.1016/j.egyr.2022.02.085,Crossref,200,Comprehensive review of the dynamic thermal rating system for sustainable electrical power systems,True,1.0,True,Lai,True,2022,True,Energy Reports,True,si
glaum2023,10.1016/j.apenergy.2023.121199,Crossref,200,Leveraging the existing German transmission grid with dynamic line rating,True,1.0,True,Glaum,True,2023,True,Applied Energy,True,si
