doi,titulo,autores,n_autores,revista,anio,citas,tipo,editorial,tema,consulta
10.1109/access.2019.2913704,Dynamic Thermal Analysis of High-Voltage Power Cable Insulation for Cable Dynamic Thermal Rating,"Wang, Peng-Yu; Ma, Hui; Liu, Gang; Han, Zhuo-Zhan; Guo, De-Ming; Xu, Tao; Kang, Long-Yun",7,IEEE Access,2019,61,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.1109/tpas.1983.317795,Dynamic Thermal Line Ratings Part I Dynamic Ampacity Rating Algorithm,"Foss, Stephen; Lin, Sheng; Fernandes, Roosevelt",3,IEEE Transactions on Power Apparatus and Systems,1983,60,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1109/tpwrd.2012.2234940,An Application of Dynamic Thermal Line Rating Control System to Up-Rate the Ampacity of Overhead Transmission Lines,"Kim, S. D.; Morcos, M. M.",2,IEEE Transactions on Power Delivery,2013,53,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1016/j.apenergy.2023.121199,Leveraging the existing German transmission grid with dynamic line rating,"Glaum, Philipp; Hofmann, Fabian",2,Applied Energy,2023,36,journal-article,Elsevier BV,capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.1016/j.epsr.2015.11.005,Analysis of underground cable ampacity considering non-uniform soil temperature distributions,"Maximov, S.; Venegas, V.; Guardado, J.L.; Moreno, E.L.; López, R.",5,Electric Power Systems Research,2016,35,journal-article,Elsevier BV,capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.1016/j.energy.2021.120803,The effect of soil thermal conductivity and cable ampacity on the thermal performance and material costs of underground transmission line,"Ocłoń, Paweł",1,Energy,2021,32,journal-article,Elsevier BV,capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.1109/tia.2025.3529824,Short-Term Transmission Capacity Prediction of Hybrid Renewable Energy Systems Considering Dynamic Line Rating Based on Data-Driven Model,"Su, Yi; Tan, Mao; Teh, Jiashen",3,IEEE Transactions on Industry Applications,2025,29,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.1109/access.2021.3086866,Fuzzy Dynamic Thermal Rating System-Based SIPS for Enhancing Transmission Line Security,"Metwaly, Mohamed K.; Teh, Jiashen",2,IEEE Access,2021,29,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.1016/j.epsr.2019.106125,Application of dynamic thermal rating: Overhead line critical spans identification under weather dependent optimized sensor placement,"Talpur, Saifal; Lie, T.T.; Zamora, R.",3,Electric Power Systems Research,2020,20,journal-article,Elsevier BV,capacidad_de_red_y_ampacidad,dynamic thermal rating overhead line ampacity
10.1016/j.ijthermalsci.2018.08.012,Modelling the thermal effect of solar radiation on the ampacity of a low voltage underground cable,"Klimenta, Dardan; Perović, Bojan; Klimenta, Jelena; Jevtić, Milena; Milovanović, Miloš; Krstić, Ivan",6,International Journal of Thermal Sciences,2018,19,journal-article,Elsevier BV,capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.1109/tpwrd.1987.4308067,Generalized Coefficients of External Thermal Resistance for Ampacity Evaluation of Underground Multiple Cable Systems,"Tarasiewlcz, E.; El-Kady, M. A.; Anders, G. J.",3,IEEE Transactions on Power Delivery,1987,17,journal-article,Institute of Electrical and Electronics Engineers (IEEE),capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
10.3390/en15010134,Enhancing PV Hosting Capacity Using Voltage Control and Employing Dynamic Line Rating,"Karunarathne, Eshan; Wijethunge, Akila; Ekanayake, Janaka",3,Energies,2021,15,journal-article,MDPI AG,capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.1016/j.epsr.2023.109350,Day-ahead dynamic thermal line rating forecasting and power transmission capacity calculation based on ForecastNet,"Gao, Zhengnan; Hu, Shubo; Sun, Hui; Wang, Zhonghui; Liu, Songnan; Yang, Fan",6,Electric Power Systems Research,2023,11,journal-article,Elsevier BV,capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.3390/en18071822,Overload Risk Assessment of Transmission Lines Considering Dynamic Line Rating,"Li, Jieling; Lin, Jinming; Han, Yu; Zhu, Lingzi; Chang, Dongxu; Shao, Changzheng",6,Energies,2025,7,journal-article,MDPI AG,capacidad_de_red_y_ampacidad,dynamic line rating transmission capacity
10.11591/ijape.v8.i3.pp257-264,Utilization of the finite element method for the calculation and examination of underground power cable ampacity,"Hadi, Mahmood Khalid",1,International Journal of Applied Power Engineering (IJAPE),2019,7,journal-article,Institute of Advanced Engineering and Science,capacidad_de_red_y_ampacidad,cable ampacity thermal rating underground power cable
