doi,titulo,autores,n_autores,revista,anio,citas,tipo,editorial,resuelve
10.1016/j.solener.2020.08.075,Too much of a good thing? Global trends in the curtailment of solar PV,"O'Shaughnessy, Eric; Cruce, Jesse R.; Xu, Kaifeng",3,Solar Energy,2020,160,journal-article,Elsevier BV,si
10.1561/2200000101,Conformal Prediction: A Gentle Introduction,"Angelopoulos, Anastasios N.; Bates, Stephen",2,Foundations and Trends® in Machine Learning,2023,584,journal-article,Emerald,si
10.1214/23-aos2276,Conformal prediction beyond exchangeability,"Barber, Rina Foygel; Candès, Emmanuel J.; Ramdas, Aaditya; Tibshirani, Ryan J.",4,The Annals of Statistics,2023,242,journal-article,Institute of Mathematical Statistics,si
10.1198/016214506000001437,"Strictly Proper Scoring Rules, Prediction, and Estimation","Gneiting, Tilmann; Raftery, Adrian E",2,Journal of the American Statistical Association,2007,4351,journal-article,Informa UK Limited,si
10.1561/2200000073,Computational Optimal Transport with Applications to Data Sciences,"Peyré, Gabriel; Cuturi, Marco",2,Foundations and Trends® in Machine Learning,2019,2012,journal-article,Emerald,si
10.1073/pnas.2107794118,Distributional conformal prediction,"Chernozhukov, Victor; Wüthrich, Kaspar; Zhu, Yinchu",3,Proceedings of the National Academy of Sciences,2021,66,journal-article,National Academy of Sciences,si
10.1002/for.3980040305,Diagnostic checks of non‐standard time series models,"Smith, J. Q.",1,Journal of Forecasting,1985,90,journal-article,Wiley,si
10.1080/01621459.2012.737745,Optimal Detection of Changepoints With a Linear Computational Cost,"Killick, R.; Fearnhead, P.; Eckley, I. A.",3,Journal of the American Statistical Association,2012,2143,journal-article,Informa UK Limited,si
10.3982/ecta7880,Quantile and Probability Curves Without Crossing,,0,Econometrica,2010,378,journal-article,The Econometric Society,si
10.1109/tpwrs.2020.3001919,Data-Driven Optimal Power Flow: A Physics-Informed Machine Learning Approach,"Lei, Xingyu; Yang, Zhifang; Yu, Juan; Zhao, Junbo; Gao, Qian; Yu, Hongxin",6,IEEE Transactions on Power Systems,2021,168,journal-article,Institute of Electrical and Electronics Engineers (IEEE),si
10.1016/j.apenergy.2024.123375,A hybrid physics-based and data-driven model for intra-day and day-ahead wind power forecasting considering a drastically expanded predictor search space,"Kirchner-Bossi, Nicolas; Kathari, Gabriel; Porté-Agel, Fernando",3,Applied Energy,2024,29,journal-article,Elsevier BV,si
10.1103/prxenergy.2.043003,Physics-Informed Machine Learning for Power Grid Frequency Modeling,"Kruse, Johannes; Cramer, Eike; Schäfer, Benjamin; Witthaut, Dirk",4,PRX Energy,2023,27,journal-article,American Physical Society (APS),si
10.1016/j.ijforecast.2014.12.004,Probabilistic forecasting of electricity spot prices using Factor Quantile Regression Averaging,"Maciejowska, Katarzyna; Nowotarski, Jakub; Weron, Rafał",3,International Journal of Forecasting,2016,126,journal-article,Elsevier BV,si
10.1016/j.solener.2018.06.103,"Probabilistic forecasting of solar power, electricity consumption and net load: Investigating the effect of seasons, aggregation and penetration on prediction intervals","van der Meer, D.W.; Munkhammar, J.; Widén, J.",3,Solar Energy,2018,75,journal-article,Elsevier BV,si
10.1016/j.eneco.2021.105121,Regularized quantile regression averaging for probabilistic electricity price forecasting,"Uniejewski, Bartosz; Weron, Rafał",2,Energy Economics,2021,79,journal-article,Elsevier BV,si
10.1016/j.energy.2022.123497,Conformalized temporal convolutional quantile regression networks for wind power interval forecasting,"Hu, Jianming; Luo, Qingxi; Tang, Jingwei; Heng, Jiani; Deng, Yuwen",5,Energy,2022,65,journal-article,Elsevier BV,si
10.1109/tnnls.2022.3217694,Ensemble Conformalized Quantile Regression for Probabilistic Time Series Forecasting,"Jensen, Vilde; Bianchi, Filippo Maria; Anfinsen, Stian Normann",3,IEEE Transactions on Neural Networks and Learning Systems,2024,63,journal-article,Institute of Electrical and Electronics Engineers (IEEE),si
10.1093/biomet/asac040,Localized conformal prediction: a generalized inference framework for conformal prediction,"Guan, Leying",1,Biometrika,2022,57,journal-article,Oxford University Press (OUP),si
10.1016/j.ijforecast.2015.11.007,K-nearest neighbors for GEFCom2014 probabilistic wind power forecasting,"Mangalova, Ekaterina; Shesterneva, Olesya",2,International Journal of Forecasting,2016,31,journal-article,Elsevier BV,si
