metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,modelo,arboles,crps,nota
estatico,test_pre,85.3,1.66,257.1,222.0,0.0,831.8,831.8069619473155,30,3390,qgbm_54x15,810,93.38,
transporte_g05,test_pre,88.3,1.52,301.5,259.8,0.0,758.2,758.1503435699217,30,3390,qgbm_54x15,810,93.38,
estatico,test_transition,81.5,1.09,312.2,251.1,0.0,1257.3,1257.260565925064,92,10607,qgbm_54x15,810,131.18,
transporte_g05,test_transition,92.0,0.68,486.0,442.5,0.0,921.5,921.5335788652997,92,10607,qgbm_54x15,810,131.18,
estatico,2025-S1,88.5,0.86,215.3,172.1,0.0,623.8,623.7776190310019,181,21784,qgbm_54x15,810,68.38,
transporte_g05,2025-S1,87.9,1.03,242.0,181.1,0.0,671.9,671.9200922119215,181,21784,qgbm_54x15,810,68.38,
estatico,2025-S2,86.9,0.58,256.9,209.2,0.0,883.9,883.8798551942103,184,22941,qgbm_54x15,810,93.34,
transporte_g05,2025-S2,91.3,0.52,335.8,279.8,6.4,807.0,inf,184,22941,qgbm_54x15,810,93.34,
estatico,2026-S1,89.1,0.67,232.5,179.9,0.0,680.7,680.6774273692247,151,19146,qgbm_54x15,810,76.77,
transporte_g05,2026-S1,91.0,0.65,259.9,205.2,0.0,629.6,629.5958216502169,151,19146,qgbm_54x15,810,76.77,
estatico,TEST_COMPLETO,87.0,0.39,246.8,191.6,0.0,809.7,809.7459528838733,638,77868,qgbm_54x15,810,87.4,
transporte_g05,TEST_COMPLETO,90.2,0.39,309.3,250.8,1.9,737.8,inf,638,77868,qgbm_54x15,810,87.4,
estatico,test_pre,89.3,1.76,292.5,235.7,0.0,562.9,562.9296812972191,30,3390,qgbm_54x50,2700,76.34,
transporte_g05,test_pre,90.6,1.63,306.6,245.4,0.0,541.2,541.1861463541941,30,3390,qgbm_54x50,2700,76.34,
estatico,test_transition,88.5,0.95,370.7,277.3,0.0,840.5,840.4948947604142,92,10607,qgbm_54x50,2700,100.58,
transporte_g05,test_transition,91.4,0.88,422.4,331.4,0.0,780.1,780.1498546656014,92,10607,qgbm_54x50,2700,100.58,
estatico,2025-S1,88.3,0.96,208.0,151.4,0.0,538.2,538.1723142990803,181,21784,qgbm_54x50,2700,58.81,
transporte_g05,2025-S1,87.5,1.1,217.8,147.6,5.5,594.6,inf,181,21784,qgbm_54x50,2700,58.81,
estatico,2025-S2,90.3,0.53,285.0,211.7,0.0,630.2,630.1947698810249,184,22941,qgbm_54x50,2700,75.59,
transporte_g05,2025-S2,91.6,0.57,317.6,242.5,10.2,679.2,inf,184,22941,qgbm_54x50,2700,75.59,
estatico,2026-S1,90.5,0.62,235.4,163.5,0.0,544.6,544.6262311838642,151,19146,qgbm_54x50,2700,63.77,
transporte_g05,2026-S1,90.7,0.72,245.9,166.7,0.0,544.9,544.9019225519619,151,19146,qgbm_54x50,2700,63.77,
estatico,TEST_COMPLETO,89.4,0.38,263.3,186.4,0.0,609.1,609.1297927402695,638,77868,qgbm_54x50,2700,71.38,
transporte_g05,TEST_COMPLETO,90.1,0.42,286.0,204.3,4.5,629.3,inf,638,77868,qgbm_54x50,2700,71.38,
estatico,test_pre,90.8,1.63,309.3,244.7,0.0,522.7,522.6831661862898,30,3390,qgbm_54x100,5400,72.93,
transporte_g05,test_pre,91.5,1.56,316.7,251.6,0.0,512.9,512.899316145849,30,3390,qgbm_54x100,5400,72.93,
estatico,test_transition,89.9,0.89,393.9,292.3,0.0,772.5,772.5253333473632,92,10607,qgbm_54x100,5400,94.03,
transporte_g05,test_transition,90.9,0.97,421.1,324.1,0.0,767.8,767.7924314727993,92,10607,qgbm_54x100,5400,94.03,
estatico,2025-S1,88.4,0.96,215.5,154.2,0.0,520.4,520.4241257991864,181,21784,qgbm_54x100,5400,57.32,
transporte_g05,2025-S1,87.6,1.1,223.4,153.1,6.1,567.5,inf,181,21784,qgbm_54x100,5400,57.32,
estatico,2025-S2,91.3,0.51,302.8,221.1,0.0,589.7,589.7212916931234,184,22941,qgbm_54x100,5400,72.14,
