metodo,periodo,cobertura,se_cluster,ancho_medio,ancho_mediano,pct_infinito,IS_finitos,IS_total,n_dias,n,modelo,arboles,crps,nota
estatico,test_pre,93.5,1.03,799.1,399.7,0.0,1028.6,1028.6198746266512,30,3390,hurdle_400,800,96.07,
transporte_g05,test_pre,92.0,1.19,680.7,345.8,0.0,963.9,963.948675102651,30,3390,hurdle_400,800,96.07,
estatico,test_transition,95.3,0.45,1203.3,667.5,0.0,1587.6,1587.5843151038584,92,10607,hurdle_400,800,133.52,
transporte_g05,test_transition,90.9,0.81,805.6,420.2,0.0,1408.5,1408.4853616599992,92,10607,hurdle_400,800,133.52,
estatico,2025-S1,89.4,1.04,454.8,179.4,0.0,745.2,745.1780831780393,181,21784,hurdle_400,800,70.7,
transporte_g05,2025-S1,87.4,1.13,445.6,142.8,9.9,832.0,inf,181,21784,hurdle_400,800,70.7,
estatico,2025-S2,94.0,0.45,750.1,349.0,0.0,1023.7,1023.7374833812137,184,22941,hurdle_400,800,93.82,
transporte_g05,2025-S2,91.6,0.63,717.7,318.7,10.7,1214.7,inf,184,22941,hurdle_400,800,93.82,
estatico,2026-S1,92.5,0.58,534.9,244.7,0.0,820.3,820.2852704728487,151,19146,hurdle_400,800,78.31,
transporte_g05,2026-S1,90.5,0.72,488.7,210.8,0.0,836.9,836.8563618259631,151,19146,hurdle_400,800,78.31,
estatico,TEST_COMPLETO,92.5,0.37,678.4,300.1,0.0,972.8,972.8030893815552,638,77868,hurdle_400,800,89.52,
transporte_g05,TEST_COMPLETO,90.1,0.43,595.9,248.5,5.9,1029.9,inf,638,77868,hurdle_400,800,89.52,
estatico,test_pre,94.5,0.9,1277.9,545.8,0.0,1495.7,1495.6504792594724,30,3390,hurdle_2000,4000,104.19,
transporte_g05,test_pre,92.7,1.05,1016.4,439.4,0.0,1295.7,1295.6747373128794,30,3390,hurdle_2000,4000,104.19,
estatico,test_transition,95.0,0.44,1668.1,884.2,0.0,2108.0,2108.0348542687316,92,10607,hurdle_2000,4000,141.07,
transporte_g05,test_transition,90.5,0.84,1053.1,497.8,0.0,1735.9,1735.9080231490511,92,10607,hurdle_2000,4000,141.07,
estatico,2025-S1,88.9,1.1,653.3,230.0,0.0,974.6,974.6398858355308,181,21784,hurdle_2000,4000,75.13,
transporte_g05,2025-S1,87.5,1.19,711.9,189.1,9.9,1128.1,inf,181,21784,hurdle_2000,4000,75.13,
estatico,2025-S2,93.8,0.51,1080.6,483.5,0.0,1391.3,1391.2586273614818,184,22941,hurdle_2000,4000,100.91,
transporte_g05,2025-S2,91.6,0.65,1001.6,412.2,10.7,1542.5,inf,184,22941,hurdle_2000,4000,100.91,
estatico,2026-S1,91.8,0.71,756.4,300.2,0.0,1066.4,1066.4111045906004,151,19146,hurdle_2000,4000,83.53,
transporte_g05,2026-S1,90.5,0.82,778.0,281.9,0.0,1138.9,1138.908903096695,151,19146,hurdle_2000,4000,83.53,
estatico,TEST_COMPLETO,92.1,0.4,970.0,394.2,0.0,1297.0,1297.0168397255693,638,77868,hurdle_2000,4000,95.46,
transporte_g05,TEST_COMPLETO,90.1,0.46,873.7,323.7,5.9,1342.6,inf,638,77868,hurdle_2000,4000,95.46,
estatico,test_pre,92.4,1.18,459.5,290.3,0.0,659.7,659.7410451168909,30,3390,hurdle_es,105,90.9,
transporte_g05,test_pre,92.8,1.16,459.0,294.5,0.0,655.4,655.3831942647353,30,3390,hurdle_es,105,90.9,
estatico,test_transition,94.6,0.51,689.4,471.3,0.0,955.9,955.9461272872842,92,10607,hurdle_es,105,124.03,
transporte_g05,test_transition,91.1,0.82,534.4,352.1,0.0,961.6,961.6362339887547,92,10607,hurdle_es,105,124.03,
estatico,2025-S1,89.2,0.96,284.1,134.1,0.0,559.8,559.7695876194653,181,21784,hurdle_es,105,67.29,
transporte_g05,2025-S1,87.4,1.0,326.9,128.0,2.8,660.4,inf,181,21784,hurdle_es,105,67.29,
estatico,2025-S2,93.3,0.45,452.8,247.1,0.0,692.9,692.8685166678233,184,22941,hurdle_es,105,88.81,
transporte_g05,2025-S2,91.4,0.52,405.4,238.9,8.5,802.2,inf,184,22941,hurdle_es,105,88.81,
estatico,2026-S1,92.4,0.52,336.0,178.2,0.0,562.6,562.6237112473502,151,19146,hurdle_es,105,73.6,
transporte_g05,2026-S1,90.3,0.65,298.7,156.7,0.0,598.1,598.1395379673507,151,19146,hurdle_es,105,73.6,
estatico,TEST_COMPLETO,92.0,0.35,409.4,212.2,0.0,658.0,658.0026920969233,638,77868,hurdle_es,105,84.38,
transporte_g05,TEST_COMPLETO,90.0,0.38,376.8,194.9,3.3,726.3,inf,638,77868,hurdle_es,105,84.38,
